"","GEOCODE","CDUID.x","GEOLABEL","allHouses","lt1PPerRoom","gt1PPerRoom","pcGt1PPerRoom","CDUID.y","allHouseholds","ownerOccupied","notOO","pcNotOO"
"199","E07000172",1211205,"Broxtowe",46820,46459,361,0.77,1211205,46820,34270,12550,26.8
"200","E07000173",1211206,"Gedling",49349,48963,386,0.78,1211206,49349,37138,12211,24.74
"201","E07000174",1211207,"Mansfield",44928,44444,484,1.08,1211207,44928,29908,15020,33.43
"202","E07000175",1211208,"Newark and Sherwood",48773,48380,393,0.81,1211208,48773,34455,14318,29.36
"203","E07000176",1211209,"Rushcliffe",45835,45589,246,0.54,1211209,45835,35142,10693,23.33
"204","E07000177",1211210,"Cherwell",56728,55917,811,1.43,1211210,56728,39303,17425,30.72
"205","E07000178",1211211,"Oxford",55375,53769,1606,2.9,1211211,55375,25873,29502,53.28
"206","E07000179",1211212,"South Oxfordshire",54104,53634,470,0.87,1211212,54104,39461,14643,27.06
"207","E07000180",1211213,"Vale of White Horse",49407,48948,459,0.93,1211213,49407,34750,14657,29.67
"208","E07000181",1211214,"West Oxfordshire",43241,42883,358,0.83,1211214,43241,30141,13100,30.3
"209","E07000187",1211215,"Mendip",46157,45735,422,0.91,1211215,46157,32438,13719,29.72
"210","E07000188",1211216,"Sedgemoor",48801,48368,433,0.89,1211216,48801,34802,13999,28.69
"211","E07000189",1211217,"South Somerset",69501,68812,689,0.99,1211217,69501,48855,20646,29.71
"212","E07000190",1211218,"Taunton Deane",46907,46400,507,1.08,1211218,46907,31393,15514,33.07
"213","E07000191",1211219,"West Somerset",15623,15473,150,0.96,1211219,15623,10421,5202,33.3
"214","E07000192",1211220,"Cannock Chase",40664,40225,439,1.08,1211220,40664,28106,12558,30.88
"215","E07000193",1211221,"East Staffordshire",47251,46635,616,1.3,1211221,47251,32879,14372,30.42
"216","E07000194",1211222,"Lichfield",41224,40851,373,0.9,1211222,41224,31155,10069,24.43
"217","E07000195",1211223,"Newcastle-under-Lyme",52574,52132,442,0.84,1211223,52574,36332,16242,30.89
"218","E07000196",1211224,"South Staffordshire",44458,44197,261,0.59,1211224,44458,33669,10789,24.27
"219","E07000197",1211225,"Stafford",55703,55319,384,0.69,1211225,55703,39880,15823,28.41
"220","E07000198",1211226,"Staffordshire Moorlands",41772,41492,280,0.67,1211226,41772,33288,8484,20.31
"221","E07000199",1211227,"Tamworth",31617,31254,363,1.15,1211227,31617,21575,10042,31.76
"222","E07000200",1211228,"Babergh",37522,37241,281,0.75,1211228,37522,26981,10541,28.09
"223","E07000201",1211229,"Forest Heath",25376,25063,313,1.23,1211229,25376,14174,11202,44.14
"224","E07000202",1211230,"Ipswich",57298,56376,922,1.61,1211230,57298,32467,24831,43.34
"225","E07000203",1211231,"Mid Suffolk",40306,40037,269,0.67,1211231,40306,30262,10044,24.92
"226","E07000204",1211232,"St Edmundsbury",45802,45324,478,1.04,1211232,45802,30626,15176,33.13
"227","E07000205",1211233,"Suffolk Coastal",53558,53241,317,0.59,1211233,53558,39193,14365,26.82
"228","E07000206",1211234,"Waveney",50883,50461,422,0.83,1211234,50883,35290,15593,30.64
"229","E07000207",1211235,"Elmbridge",52922,52360,562,1.06,1211235,52922,38660,14262,26.95
"230","E07000208",1211236,"Epsom and Ewell",29784,29365,419,1.41,1211236,29784,22931,6853,23.01
"231","E07000209",1211237,"Guildford",53973,53347,626,1.16,1211237,53973,37148,16825,31.17
"232","E07000210",1211238,"Mole Valley",35828,35437,391,1.09,1211238,35828,26362,9466,26.42
"233","E07000211",1211239,"Reigate and Banstead",55423,54598,825,1.49,1211239,55423,40486,14937,26.95
"234","E07000212",1211240,"Runnymede",32714,32235,479,1.46,1211240,32714,22731,9983,30.52
"235","E07000213",1211241,"Spelthorne",39512,38728,784,1.98,1211241,39512,28671,10841,27.44
"236","E07000214",1211242,"Surrey Heath",33546,33143,403,1.2,1211242,33546,25769,7777,23.18
"237","E07000215",1211243,"Tandridge",33342,32988,354,1.06,1211243,33342,25302,8040,24.11
"238","E07000216",1211244,"Waverley",49280,48847,433,0.88,1211244,49280,36295,12985,26.35
"239","E07000217",1211245,"Woking",39467,38602,865,2.19,1211245,39467,27829,11638,29.49
"240","E07000218",1211246,"North Warwickshire",25812,25621,191,0.74,1211246,25812,18686,7126,27.61
